shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuE205054A01t017,2,15,10,0,0,0,10,16,0.5331337011171278,0.5331337011171278,0.0,0.9375,0.9524232853670933,,0,79,0,0,32,63,0.0,5,0
nstxuE205054A01t020,2,11,6,0,0,0,6,10,0.3815221471719421,0.8212081480466898,0.2,0.8,10.97671264460749,,2,57,0,0,9,15,0.13333333333333333,5,0
nstxuE205054A01t027,2,12,5,0,0,0,5,9,0.7080137382809326,0.7080137382809326,0.2222222222222222,1.0,23.550329567357757,,2,18,0,0,6,10,0.2,7,0
nstxuE205055A01t017,2,16,14,0,0,0,12,21,0.42678920993340363,0.42678920993340363,0.047619047619047616,0.9047619047619048,0.8818538500384943,,1,53,0,0,20,76,0.013157894736842105,2,0
nstxuE205055A01t022,2,9,3,0,0,0,3,3,0.4108999754570908,0.4108999754570908,0.0,1.0,0.4714410051421636,,0,47,0,0,14,16,0.0,6,0
nstxuE205055A01t027,2,8,7,0,0,0,7,9,0.4244641665130833,0.4244641665130833,0.0,0.8888888888888888,0.6077139077891314,,0,32,0,0,7,9,0.0,1,0
nstxuE205055A01t037,2,9,4,0,0,0,4,6,0.7936995691929627,0.7936995691929627,0.3333333333333333,1.0,17.992704678491478,,2,11,0,0,4,6,0.3333333333333333,5,0
nstxuE205057A01t017,2,11,7,0,0,0,7,9,0.3438354472378391,0.3438354472378391,0.0,1.0,0.825426813861112,,0,41,0,0,14,16,0.0,4,0
nstxuE205057A01t025,2,5,5,0,0,0,5,5,0.8000641829931765,0.8000641829931765,0.2,1.0,10.302777067505074,,1,21,0,0,8,8,0.125,0,0
nstxuE205057A01t030,2,19,19,0,0,0,19,25,0.6087033216956972,0.6087033216956972,0.0,1.0,0.9760863145048415,,0,91,0,0,28,36,0.0,0,0
nstxuE205059A01t017,2,7,1,0,0,0,1,1,0.4093324609546256,0.4093324609546256,0.0,1.0,0.4093324609546256,,0,40,0,0,5,8,0.0,6,0
nstxuE205059A01t020,2,15,8,0,0,0,8,10,0.3201629216238677,0.3201629216238677,0.0,0.9,0.8666207277400595,,0,53,0,0,17,19,0.0,7,0
nstxuE205059A01t025,2,36,34,0,0,0,34,36,0.7926241302129156,0.8338936121548957,0.05555555555555555,0.9444444444444444,1.3198844587398146,,2,64,0,0,39,41,0.04878048780487805,2,0
nstxuE205059A01t030,2,13,12,0,0,0,12,14,0.6082162872907249,0.6896729357216413,0.14285714285714285,0.8571428571428571,5.984722963106307,,2,42,0,0,25,27,0.07407407407407407,1,0
nstxuE205072A02t017,2,15,10,0,0,0,10,15,0.28858203588495446,0.28858203588495446,0.0,1.0,0.80891371664088,,0,41,0,0,13,18,0.0,5,0
nstxuE205072A02t020,2,12,7,0,0,0,7,11,0.4600327744331001,0.4600327744331001,0.0,0.9090909090909091,0.954484396755928,,0,31,0,0,10,29,0.0,5,0
nstxuE205072A02t027,2,10,5,0,0,0,5,10,0.37188426907766026,0.37188426907766026,0.4,1.0,18.091454938788253,,4,46,0,0,6,11,0.36363636363636365,5,0
nstxuE205072A02t034,2,5,5,0,0,0,5,5,0.4786984219220747,0.4786984219220747,0.0,1.0,0.7446362960568975,,0,17,0,0,16,16,0.0,0,0
nstxuG121123N22,2,12,12,0,0,0,12,20,0.010159576849774754,0.49401447913416385,0.0,0.5,1.140043248463034,,0,61,0,0,46,61,0.45901639344262296,0,0
nstxuG121123N75,2,29,29,0,0,0,29,41,-6.833444085562046,7.030480255438675,1.0,0.07317073170731707,58.94121933786519,,41,49,0,0,43,73,0.9863013698630136,0,0
nstxuG121123Q62,2,12,12,0,0,0,11,23,-0.2805227887291928,0.9916478043509258,0.21739130434782608,0.43478260869565216,2.632838978185074,,5,75,0,0,40,60,0.43333333333333335,0,0
nstxuG121123R42,2,39,39,0,0,0,39,55,2.5890953799480476,5.507088389386672,0.8727272727272727,0.6727272727272727,120.04703402059104,,48,85,0,0,51,81,0.8888888888888888,0,0
nstxuG133964R48,2,3,3,0,0,0,3,9,0.23150474383338837,0.3288261462109976,0.1111111111111111,0.8888888888888888,2.376683143048776,,1,87,0,0,17,49,0.2653061224489796,0,0
nstxuG133964U27,2,7,7,0,0,0,6,8,1.4031803483983363,1.4031803483983363,0.25,0.75,11.41942916293093,,2,54,0,0,7,10,0.4,0,0
nstxuG133964U37,2,0,0,0,0,0,0,0,,,,,,,0,49,0,0,14,26,0.4230769230769231,0,0
nstxuG142301B37,2,21,21,0,0,0,21,22,1.4424291828678548,1.4424291828678548,0.3181818181818182,1.0,4.627963076794093,,7,48,0,0,34,41,0.4634146341463415,0,0
nstxuG142301B85,2,38,38,0,0,0,38,52,1.0106531361929294,1.8036764682974216,0.4230769230769231,0.7884615384615384,2.7441918514562227,,22,70,0,0,42,60,0.45,0,0
nstxuG142301D46,2,23,23,0,0,0,23,33,1.015556831543929,2.1881183594554265,0.5757575757575758,0.7575757575757576,5.21909164926365,,19,45,0,0,29,45,0.6666666666666666,0,0
nstxuG142301E34,2,2,2,0,0,0,2,5,5.39245188262818,5.39245188262818,0.6,1.0,11.452640680228123,,3,47,0,0,3,6,0.6666666666666666,0,0
nstxuG142301E55,2,4,4,0,0,0,4,4,0.8592377168755494,0.8592377168755494,0.0,1.0,1.3887720425032057,,0,9,0,0,5,6,0.0,0,0
