mode_key,shot,n,scenario,input_fingerprint,onset,before_gap_region,before_decision,before_reason,before_signed_delta,before_fraction_below_upper2,after_gap_region,after_decision,after_reason,after_signed_delta,after_fraction_below_upper2
nstxuE204645A16t015/N10/egn10w.7647E+01,nstxuE204645A16t015,10,mean,2d270fd7044a3319316438dd0fcc618a02d040c35a55bfe719c328655845262e,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.39567546428474076,0.999997753980738,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8035373782781906,0.999997753980738
nstxuE204645A16t015/N10/egn10w.8119E+01,nstxuE204645A16t015,10,last,f15aa3c9ab20315c2a1eb9c0d3700722c4c70b635410b5b0bec54c53202bcade,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3672106372892624,0.9999958862262024,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.6796156780467298,0.9999958862262024
nstxuE204645A16t015/N10/egn10w.8119E+01,nstxuE204645A16t015,10,mean,f15aa3c9ab20315c2a1eb9c0d3700722c4c70b635410b5b0bec54c53202bcade,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3672106372892624,0.9999958862262024,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8221720632173576,0.9999958862262024
nstxuE204645A16t015/N10/egn10w.8351E+01,nstxuE204645A16t015,10,last,9c00c5f7662e03e058156a5541b4a2f8ec83d601b3e265ccccb2a1c4a1f64587,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3518903853575788,0.999997143186119,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.669307807244856,0.999997143186119
nstxuE204645A16t015/N10/egn10w.8351E+01,nstxuE204645A16t015,10,mean,9c00c5f7662e03e058156a5541b4a2f8ec83d601b3e265ccccb2a1c4a1f64587,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3518903853575788,0.999997143186119,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8463034594087198,0.999997143186119
nstxuE204645A16t015/N10/egn10w.8871E+01,nstxuE204645A16t015,10,last,80842102c9f6dcc19fc1d2451dd6cc3a218dc739761e29b83260f47b076daed8,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3226455487935355,0.9999031434161046,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.6199772482869033,0.9999031434161046
nstxuE204645A16t015/N10/egn10w.8871E+01,nstxuE204645A16t015,10,mean,80842102c9f6dcc19fc1d2451dd6cc3a218dc739761e29b83260f47b076daed8,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.3226455487935355,0.9999031434161046,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8096915267194835,0.9999031434161046
nstxuE204645A16t015/N10/egn10w.9138E+01,nstxuE204645A16t015,10,last,29faced3bdfbdf249f36025eb035b54dfc91000945ec912a9369b3ae1ba8efdc,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.29148247148943573,0.999788854974737,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.6048573155600108,0.999788854974737
nstxuE204645A16t015/N10/egn10w.9138E+01,nstxuE204645A16t015,10,mean,29faced3bdfbdf249f36025eb035b54dfc91000945ec912a9369b3ae1ba8efdc,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.29148247148943573,0.999788854974737,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.771279719859412,0.999788854974737
nstxuE204645A16t015/N10/egn10w.9410E+01,nstxuE204645A16t015,10,last,a4e35aa8b77f9274d8dc79d68bf87ec9f8b4c3ff7bd92ffa1a16c56baa5412b8,0.875,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.24910672959814234,0.997363670361741,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.5867603090635882,0.997363670361741
